student_id,study_hours_per_week,attendance_rate,previous_grades,participation_in_extracurricular_activities,parent_education_level,passed,performance
S00001,12.5,75.3,75.0,Yes,Master,Yes,Medium
S00002,9.3,95.3,60.6,No,High School,No,Medium
S00003,13.2,75.3,64.0,No,Associate,No,Medium
S00004,17.6,76.8,62.4,Yes,Bachelor,No,Medium
S00005,8.8,89.3,72.7,No,Master,No,Medium
S00006,8.8,73.8,69.3,Yes,High School,Yes,Medium
S00007,17.9,38.6,93.6,No,Doctorate,Yes,High
S00008,13.8,95.8,59.2,Yes,Doctorate,No,Low
S00009,7.7,100.1,91.9,No,Bachelor,Yes,High
S00010,12.7,38.4,37.8,Yes,High School,Yes,Low
S00011,7.7,54.1,72.3,No,Master,No,Medium
S00012,7.7,115.5,41.2,Yes,Master,No,Low
S00013,11.2,79.6,49.6,Yes,Bachelor,Yes,Low
S00014,0.4,75.1,50.4,No,Bachelor,Yes,Low
S00015,1.4,66.5,49.2,No,Associate,Yes,Low
S00016,7.2,54.4,55.9,Yes,High School,No,Low
S00017,4.9,71.1,98.0,Yes,High School,No,High
S00018,11.6,94.5,51.8,No,Bachelor,Yes,Low
S00019,5.5,74.7,40.8,No,Doctorate,No,Low
S00020,2.9,87.2,72.4,No,Associate,Yes,Medium
S00021,17.3,110.3,68.6,No,Bachelor,Yes,Medium
S00022,8.9,63.4,98.2,No,Doctorate,No,High
S00023,10.3,81.1,64.4,No,High School,No,Medium
S00024,2.9,95.1,30.7,No,Bachelor,Yes,Low
S00025,7.3,56.3,58.6,Yes,High School,Yes,Low
S00026,10.6,75.3,58.3,No,Doctorate,Yes,Low
S00027,4.2,112.4,46.5,No,High School,Yes,Low
S00028,11.9,68.2,56.6,Yes,High School,No,Low
S00029,7.0,96.4,62.8,Yes,Associate,No,Medium
S00030,8.5,72.2,64.1,No,Doctorate,Yes,Medium
S00031,7.0,111.0,44.3,No,Doctorate,Yes,Low
S00032,19.3,42.1,74.1,Yes,Associate,Yes,Medium
S00033,9.9,76.3,89.5,No,Associate,No,High
S00034,4.7,45.4,69.2,No,Doctorate,Yes,Medium
S00035,14.1,61.0,81.6,No,High School,Yes,High
S00036,3.9,60.9,67.7,Yes,Master,No,Medium
S00037,11.0,69.7,49.3,Yes,Master,Yes,Low
S00038,0.2,51.2,69.1,No,Master,Yes,Medium
S00039,3.4,73.6,57.5,Yes,Master,Yes,Low
S00040,11.0,84.2,48.4,No,Master,Yes,Low
S00041,10.0,44.4,63.8,Yes,Master,Yes,Medium
S00042,10.9,62.3,77.3,Yes,Bachelor,Yes,Medium
S00043,9.4,125.8,59.9,Yes,Associate,No,Low
S00044,8.5,81.6,94.1,Yes,Bachelor,No,High
S00045,2.6,38.6,79.3,No,Doctorate,Yes,Medium
